generation,best_fitness,avg_fitness
0,20.286083522535986,11.25994595354734
1,22.02409705583745,12.933767535167526
2,26.14816454217134,14.703684340509371
3,26.14816454217134,16.201155171281005
4,26.14816454217134,17.1251680570807
5,26.29518534361551,18.194694982981613
6,28.59935114744327,19.621021596005708
7,28.59935114744327,20.362253216178104
8,29.045882866022,21.299080409171875
9,29.045882866022,22.592784490288242
10,29.22841405183702,22.700291068073625
11,29.22841405183702,23.356949139825943
12,29.22841405183702,24.063716062438253
13,29.26549150905494,23.30504288062156
14,29.26549150905494,22.458002347314228
15,29.26549150905494,23.543486583213166
16,29.26549150905494,21.685788491273897
17,29.79357615346173,22.442329556276004
18,29.79357615346173,23.27023526997698
19,30.068164079574558,22.158293179702895
20,30.068164079574558,22.09687662366917
21,30.068164079574558,22.285501890202386
22,30.068164079574558,22.989954032407624
23,30.068164079574558,22.428451671759888
24,30.068164079574558,22.612137894555424
25,30.068164079574558,20.824532528662136
26,30.068164079574558,20.690168071086593
27,30.068164079574558,22.05541434105768
28,30.068164079574558,22.255485919198758
29,30.068164079574558,21.163653175703626
30,30.068164079574558,19.36141925594601
31,30.068164079574558,21.189111545964046
32,30.068164079574558,22.08474633275884
33,30.068164079574558,20.817697926532674
34,30.068164079574558,21.342930791609838
35,30.068164079574558,20.053146050822605
36,30.068164079574558,19.836444670005644
37,30.068164079574558,20.48294250622979
38,30.068164079574558,21.85956821393443
39,30.068164079574558,21.892872427448598
40,30.068164079574558,21.145333087335082
41,30.068164079574558,20.617326190610843
42,30.592448023638667,21.610992731393967
43,30.592448023638667,21.3517628708207
44,30.653302856474724,21.641111498073315
45,30.653302856474724,22.983538169374462
46,30.653302856474724,22.711792979299712
47,30.653302856474724,21.786489005193545
48,30.653302856474724,20.022738157795917
49,30.653302856474724,22.0349107967385
50,30.653302856474724,22.797900367970126
51,30.653302856474724,21.972831576195997
52,30.653302856474724,21.99788609413782
53,30.653302856474724,21.844780706244926
54,30.653302856474724,22.13650567915505
55,30.653302856474724,21.95164331675968
56,30.653302856474724,22.53267389166881
57,30.653302856474724,22.430633471424624
58,30.653302856474724,22.899798439961025
59,30.653302856474724,22.458123759094395
60,30.653302856474724,22.207103709614195
61,30.653302856474724,20.871346926453715
62,30.653302856474724,22.664231459977632
63,30.653302856474724,23.598935911307763
64,30.653302856474724,22.28090299962888
65,30.653302856474724,22.271519200593872
66,30.653302856474724,21.472474423452777
67,30.72393697896538,21.888739283664965
68,30.72393697896538,22.542591921580996
69,30.72393697896538,22.764417504738983
70,30.72393697896538,21.518741330579473
71,30.72393697896538,21.786501617762095
72,30.822283063956853,22.99607209415397
73,30.822283063956853,22.61925936160666
74,30.822283063956853,22.475341504245193
75,30.822283063956853,23.806391571518553
76,30.822283063956853,23.009044288465034
77,30.822283063956853,22.583110953714648
78,30.822283063956853,21.496286164847053
79,30.822283063956853,23.410592845070948
80,30.822283063956853,22.490305362406623
81,30.822283063956853,22.14553588919949
82,31.651340425165724,23.25644182969436
83,31.651340425165724,21.595931723610995
84,31.651340425165724,21.860762852110557
85,31.651340425165724,21.249666058365396
86,31.651340425165724,23.483702859592302
87,31.651340425165724,22.79177123453876
88,31.651340425165724,22.591525444680848
89,31.651340425165724,21.730670854804675
90,31.651340425165724,22.67136401944833
91,31.651340425165724,23.004762407905766
92,31.651340425165724,22.15290061970396
93,31.651340425165724,21.585321407413065
94,31.651340425165724,22.231318579307555
95,31.651340425165724,22.343032162162746
96,31.651340425165724,21.033998918203586
97,31.651340425165724,20.48722816808206
98,31.651340425165724,21.265971907962147
99,31.651340425165724,21.354135789929764
100,31.651340425165724,21.321906256498824
101,31.651340425165724,21.691181538906502
102,31.651340425165724,20.610121815921783
103,31.651340425165724,22.277198836922224
104,31.651340425165724,21.143049557176866
105,31.651340425165724,19.14918585218913
106,31.651340425165724,21.259115366255507
107,31.897478379388176,21.95515898016588
108,31.897478379388176,22.196768975248677
109,31.897478379388176,21.048775490356494
110,31.897478379388176,20.332438324078286
111,31.897478379388176,20.27374927405708
112,31.897478379388176,21.48861215240741
113,31.897478379388176,20.2454927533551
114,31.897478379388176,21.136089844725415
115,31.897478379388176,19.749176759282975
116,31.897478379388176,20.766812547847515
117,31.897478379388176,19.451489123160613
118,31.897478379388176,20.52851669760261
119,31.897478379388176,20.244740702644172
120,31.897478379388176,19.593902763274706
121,31.897478379388176,20.70181797415517
122,31.897478379388176,19.59487704011631
123,31.897478379388176,19.38145464015413
124,31.897478379388176,18.555244802996985
125,31.897478379388176,21.327699926684602
126,31.897478379388176,19.13062888695796
127,31.897478379388176,19.476448697418842
128,31.897478379388176,20.523050719368094
129,31.897478379388176,20.093310682468335
130,31.897478379388176,20.764433750543784
131,31.897478379388176,20.918637965090724
132,31.897478379388176,21.162791154518047
133,31.897478379388176,21.425462618435372
134,31.897478379388176,20.438502266634163
135,31.897478379388176,20.13609336959248
136,31.897478379388176,20.827782918703708
137,31.897478379388176,20.660866183285197
138,31.897478379388176,20.90303853862486
139,31.897478379388176,20.9811536224069
140,31.897478379388176,20.807866646416684
141,31.897478379388176,21.502674092506858
142,31.897478379388176,22.837885056173313
143,31.897478379388176,22.153175804652047
144,31.897478379388176,20.531227393854028
145,31.897478379388176,20.823555599878166
146,31.897478379388176,21.898670002099205
147,31.897478379388176,20.018911302388574
148,31.897478379388176,19.50417696616888
149,31.897478379388176,21.19349816910547
150,31.897478379388176,20.6830821496951
151,31.897478379388176,22.10538244513483
152,31.897478379388176,20.374335651965957
153,31.897478379388176,22.411299655103505
154,31.897478379388176,19.8910376396061
155,31.897478379388176,21.15425741432119
156,31.897478379388176,20.294990671449515
157,31.897478379388176,22.84161891965913
158,31.897478379388176,20.0700487440153
159,31.897478379388176,20.434619131510413
160,31.897478379388176,20.569155600301332
161,31.897478379388176,22.19385579994193
162,31.897478379388176,21.476547756449524
163,31.897478379388176,22.13071387031879
164,31.897478379388176,21.55132867244851
165,31.897478379388176,22.163849466553085
166,31.897478379388176,21.912012084346056
167,31.897478379388176,20.305293569088168
168,31.897478379388176,20.29064075931886
169,31.897478379388176,21.421477614447284
170,31.897478379388176,19.53673537804427
171,31.897478379388176,20.94593970597542
172,31.897478379388176,21.09217273904459
173,31.897478379388176,20.250906313889782
174,32.16573921891182,20.706682063885605
175,32.16573921891182,20.165267727076095
176,32.16573921891182,20.668515028178952
177,32.16573921891182,22.559165750454987
178,32.16573921891182,22.153696642706645
179,32.16573921891182,22.00997289468759
180,32.16573921891182,21.58463957033995
181,32.609621356763725,21.247838538242867
182,32.609621356763725,20.919260967230933
183,32.609621356763725,21.032998959708024
184,32.609621356763725,21.108781252224038
185,32.609621356763725,21.365408998809546
186,32.609621356763725,20.990183922605237
187,32.609621356763725,19.91350564528415
188,32.609621356763725,22.344551389482753
189,32.609621356763725,20.469933044855456
190,32.609621356763725,21.12470072031094
191,32.609621356763725,21.37180776753474
192,32.609621356763725,22.273494563678288
193,32.609621356763725,21.969795359951835
194,32.609621356763725,22.167408204423957
195,32.609621356763725,21.674534138552637
196,32.609621356763725,21.60486508832964
197,32.609621356763725,22.169504330432254
198,32.609621356763725,20.83495985741464
199,32.609621356763725,21.103533759156978
200,32.609621356763725,20.844445909613967
201,32.609621356763725,21.25141264390199
202,32.609621356763725,21.531138940585716
203,32.609621356763725,20.58376789354439
204,32.609621356763725,20.364191219004308
205,32.609621356763725,20.829816430106053
206,32.609621356763725,22.484443037446937
207,32.609621356763725,22.09426569651698
208,32.609621356763725,21.699200461108546
209,32.609621356763725,22.29436332399833
210,32.609621356763725,22.08311428357537
211,32.609621356763725,22.29407009255071
212,32.609621356763725,20.706952606895033
213,32.609621356763725,21.717303059322717
214,32.609621356763725,20.747033944358243
215,32.609621356763725,19.528637064791802
216,32.609621356763725,20.757427777977504
217,32.609621356763725,22.017461177234075
218,32.609621356763725,21.986445317454585
219,32.609621356763725,21.371785560585327
220,32.609621356763725,22.089056517429423
221,32.609621356763725,21.549714411673826
222,32.609621356763725,22.21232526048179
223,32.609621356763725,21.980022647040723
224,32.609621356763725,21.686022180025102
225,32.609621356763725,22.09419169379962
226,32.609621356763725,21.90804363653463
227,32.609621356763725,22.36481243356606
228,32.609621356763725,20.766638928253208
229,32.609621356763725,21.547142413082337
230,32.609621356763725,21.642810904827222
231,32.609621356763725,21.51486905304797
232,32.609621356763725,20.964071835700228
233,32.609621356763725,21.223008576273557
234,32.609621356763725,19.965101465427544
235,32.609621356763725,20.817095001944185
236,32.609621356763725,18.246781153733856
237,32.609621356763725,20.902809656027095
238,32.609621356763725,20.86416137866476
239,32.609621356763725,19.563531712847528
240,32.609621356763725,19.354636640587724
241,32.609621356763725,21.333966016183155
242,32.609621356763725,19.672691770378652
243,32.609621356763725,20.550152766424937
244,32.609621356763725,22.279556587763015
245,32.609621356763725,20.349469248419645
246,32.609621356763725,19.11123945163522
247,32.609621356763725,21.30015113427506
248,32.609621356763725,21.778957753644203
249,32.609621356763725,20.738241387497116
250,32.609621356763725,20.38649557823577
251,32.609621356763725,19.90494401678148
252,32.609621356763725,20.344379930608014
253,32.609621356763725,21.183434753458357
254,32.609621356763725,19.967823139234415
255,32.609621356763725,20.63716488870681
256,32.609621356763725,20.13285000037024
257,32.609621356763725,20.567275036714737
258,32.609621356763725,20.828901088506665
259,32.609621356763725,21.570102007923193
260,32.609621356763725,21.342469742962844
261,32.609621356763725,21.392051651182047
262,32.609621356763725,19.890444770362826
263,32.609621356763725,20.97897397139472
264,32.609621356763725,21.600532292122736
265,32.609621356763725,21.852718610229672
266,32.609621356763725,20.763355845119538
267,32.609621356763725,20.95605562942258
268,32.609621356763725,22.032950959930705
269,32.609621356763725,21.96597571566823
270,32.609621356763725,20.39232890567842
271,32.609621356763725,20.56384991244987
272,32.609621356763725,22.087772788673576
273,32.609621356763725,21.707170652971993
274,32.609621356763725,20.104252802314118
275,32.609621356763725,21.960168536724126
276,32.609621356763725,21.6828056540949
277,32.609621356763725,19.943820089323246
278,32.609621356763725,21.624833056650562
279,32.609621356763725,20.08363331218954
280,32.609621356763725,20.556639261146845
281,32.609621356763725,22.640965726416436
282,32.609621356763725,20.20461513616674
283,32.609621356763725,19.861501354770407
284,32.609621356763725,21.050414868890407
285,32.609621356763725,19.237399293351295
286,32.609621356763725,19.47426017076434
287,32.609621356763725,19.47669047278349
288,32.609621356763725,20.34690236511606
289,32.609621356763725,20.837072128875754
290,32.609621356763725,20.87716992846501
291,32.609621356763725,19.650283467231613
292,32.609621356763725,21.809327554286
293,32.609621356763725,20.42135966806848
294,32.609621356763725,21.753314444892865
295,32.609621356763725,21.041864648063427
296,32.609621356763725,22.1875166066958
297,32.609621356763725,20.172488233531055
298,32.609621356763725,19.75540013949519
299,32.609621356763725,21.20505069769499
300,32.609621356763725,20.378602473396604
301,32.609621356763725,20.289438670294185
302,32.609621356763725,20.558813210003265
303,32.609621356763725,20.34901441837622
304,32.609621356763725,20.4076603664666
305,32.609621356763725,20.139397712649608
306,32.609621356763725,19.662787663477406
307,32.609621356763725,20.7524702471606
308,32.609621356763725,20.108589280971294
309,32.609621356763725,20.461373753850612
310,32.609621356763725,20.785157899224146
311,32.609621356763725,19.76915788929815
312,32.609621356763725,20.21609553785219
313,32.609621356763725,19.99631074201227
314,32.609621356763725,21.427788564400636
315,32.609621356763725,21.106906532376133
316,32.609621356763725,20.862343856797622
317,32.609621356763725,19.98358680422321
318,32.609621356763725,20.412341191035235
319,32.609621356763725,19.16240713758058
320,32.609621356763725,20.544680823644914
321,32.609621356763725,19.189288886146112
322,32.609621356763725,19.3206432259842
323,32.609621356763725,20.2929670047937
324,32.609621356763725,21.672738130675608
325,32.609621356763725,22.366516811384937
326,32.609621356763725,19.580603058547602
327,32.609621356763725,18.603918466856904
328,32.609621356763725,20.01252482986572
329,32.609621356763725,20.51578988609387
330,32.609621356763725,21.159911963885953
331,32.609621356763725,21.4355133453645
332,32.609621356763725,20.019160143126317
333,32.609621356763725,21.151282984139353
334,32.609621356763725,20.06428580660682
335,32.609621356763725,19.885735386618876
336,32.609621356763725,22.359497819579953
337,32.609621356763725,20.438674884564158
338,32.609621356763725,20.359561892889754
339,32.609621356763725,20.909618123781485
340,32.609621356763725,20.424239382173436
341,32.609621356763725,20.100792816092333
342,32.609621356763725,21.234643688516897
343,32.609621356763725,21.02845752069239
344,32.609621356763725,21.14766668589266
345,32.609621356763725,21.46112626101625
346,32.609621356763725,22.05297000902257
347,32.609621356763725,21.45638023488731
348,32.609621356763725,19.408424363554264
349,32.609621356763725,20.44842092834659
350,32.609621356763725,20.074210632599886
351,32.609621356763725,20.755831992457217
352,32.609621356763725,19.747120097571354
353,32.609621356763725,19.720184727459802
354,32.609621356763725,18.7194727842997
355,32.609621356763725,18.745045234642006
356,32.609621356763725,20.73617098028124
357,32.609621356763725,20.643113412389507
358,32.609621356763725,20.397029813478465
359,32.609621356763725,20.49216107214518
360,32.609621356763725,22.100391179914094
361,32.609621356763725,21.122636329892728
362,32.609621356763725,21.687275888883978
363,32.609621356763725,21.18322486987369
364,32.609621356763725,20.41153972638688
365,32.609621356763725,21.527793106035976
366,32.609621356763725,20.530034067828943
367,32.609621356763725,19.690696746572147
368,32.609621356763725,19.898412059506708
369,32.609621356763725,19.611976361447216
370,32.609621356763725,19.555290009705615
371,32.609621356763725,19.201590652172847
372,32.609621356763725,20.521397763011493
373,32.609621356763725,19.050799595201067
374,32.609621356763725,20.081102239400654
375,32.609621356763725,19.39278903014125
376,32.609621356763725,20.180353829068107
377,32.609621356763725,20.519216274423663
378,32.609621356763725,21.18889892919758
379,32.609621356763725,20.271947462178712
380,32.609621356763725,19.753621946565495
381,32.609621356763725,20.155212374545048
382,32.609621356763725,20.22361193693136
383,32.609621356763725,18.868779679253368
384,32.609621356763725,19.933742644122677
385,32.609621356763725,21.09331078873281
386,32.609621356763725,20.068279650127494
387,32.609621356763725,20.917925729817306
388,32.609621356763725,20.971978251470127
389,32.609621356763725,21.521765677528787
390,32.609621356763725,19.883329409338234
391,32.609621356763725,20.464024389083182
392,32.609621356763725,21.401987370489007
393,32.609621356763725,21.82897137292282
394,32.609621356763725,20.573370927485133
395,32.609621356763725,19.952141794147103
396,32.609621356763725,19.967826058791005
397,32.609621356763725,20.85723694994346
398,32.609621356763725,18.96041770181175
399,32.609621356763725,20.035985077647563
400,32.609621356763725,20.171742110165052
401,32.609621356763725,22.11926573574049
402,32.609621356763725,21.20532187530753
403,32.609621356763725,20.760695149506066
404,32.609621356763725,21.055353202917324
405,32.609621356763725,21.689977443216023
406,32.609621356763725,20.933397615779075
407,32.609621356763725,18.26979261921904
408,32.609621356763725,19.872321071878137
409,32.609621356763725,21.11301195619565
410,32.609621356763725,20.843922673573562
411,32.609621356763725,22.27627105447452
412,32.609621356763725,19.82909917105785
413,32.609621356763725,19.523414389171215
414,32.609621356763725,18.44307035934498
415,32.609621356763725,19.958154405398584
416,32.609621356763725,21.953732447485667
417,32.609621356763725,20.264287709686872
418,32.609621356763725,21.174336670865575
419,32.609621356763725,20.810155436664886
420,32.609621356763725,20.512865389782245
421,32.609621356763725,21.226840800807093
422,32.609621356763725,22.309569531243305
423,32.609621356763725,21.49396300825161
424,32.609621356763725,21.87615740251191
425,32.609621356763725,22.139824819135146
426,32.609621356763725,21.99497622688712
427,32.609621356763725,20.311405920652934
428,32.609621356763725,19.198762211787233
429,32.609621356763725,21.051119489355205
430,32.609621356763725,22.417161160315356
431,32.609621356763725,19.974947767689333
432,32.609621356763725,22.02624377595639
433,32.609621356763725,22.26993794165838
434,32.609621356763725,20.919832743974016
435,32.609621356763725,21.934477722363972
436,32.609621356763725,20.519050875641337
437,32.609621356763725,21.364379498172855
438,32.609621356763725,21.080698926056137
439,32.609621356763725,18.80932915145394
440,32.609621356763725,21.205851740193122
441,32.609621356763725,20.220013823932714
442,32.609621356763725,21.297007716069363
443,32.609621356763725,22.373746088208904
444,32.609621356763725,20.157883997964397
445,32.609621356763725,20.848057714081218
446,32.609621356763725,21.3703522767944
447,32.609621356763725,21.488902449279614
448,32.609621356763725,21.01954722289474
449,32.609621356763725,22.25167051963583
450,32.609621356763725,21.998168047251667
451,32.609621356763725,18.747860655492403
452,32.609621356763725,21.747591350245134
453,32.609621356763725,20.205931328221475
454,32.609621356763725,20.87958089411458
455,32.609621356763725,19.5343135274365
456,32.609621356763725,21.442379715663098
457,32.609621356763725,20.401030979050674
458,32.609621356763725,20.264174075185775
459,32.609621356763725,21.93194522435406
460,32.609621356763725,22.19808085518665
461,32.609621356763725,22.078484355540695
462,32.609621356763725,22.64110290811388
463,32.609621356763725,21.795756816601614
464,32.609621356763725,21.17654260845458
465,32.609621356763725,23.008529291178363
466,32.609621356763725,23.467302924087786
467,32.609621356763725,20.686956813676353
468,32.609621356763725,21.585909470591982
469,32.609621356763725,20.865268393789258
470,32.609621356763725,22.726120756782116
471,32.609621356763725,21.491525497398072
472,32.609621356763725,21.10764769746038
473,32.609621356763725,21.62418435455339
474,32.609621356763725,21.303713927781505
475,32.609621356763725,21.47516196679141
476,32.609621356763725,21.678884551591068
477,32.609621356763725,21.190896240270124
478,32.609621356763725,23.23785376222708
479,32.609621356763725,21.131850136980635
480,32.609621356763725,23.07232890432557
481,32.609621356763725,22.39138426714355
482,32.609621356763725,21.606121900408212
483,32.609621356763725,21.166168732986655
484,32.609621356763725,20.07806424717756
485,32.609621356763725,22.09694996063697
486,32.609621356763725,21.93570436018127
487,32.609621356763725,20.95611875987897
488,32.609621356763725,21.458754366354952
489,32.609621356763725,20.685274167332004
490,32.609621356763725,19.853632091129796
491,32.609621356763725,20.51898938958943
492,32.609621356763725,21.699058553002825
493,32.609621356763725,21.252069696977586
494,32.609621356763725,21.537459018604263
495,32.609621356763725,21.743664174305984
496,32.609621356763725,22.2637487443192
497,32.609621356763725,21.55224551859935
498,32.609621356763725,21.833457461230502
