Date,Close,High,Low,Open,Volume,RSI,MA20,MACD,BB_high,BB_low,Return_1d,Volume_z,Ticker
2021-09-07,152.96270751953125,153.51914078415754,150.71741625258127,151.2836211735212,82278300,73.19179091568014,146.33130340576173,2.0361559058730165,152.08875455878237,140.5738522527411,0.015489496849414364,0.6789746073684408,AAPL
2021-09-08,151.42027282714844,153.30435519689405,150.31714828986404,153.24578484904103,74420200,66.22211948416718,146.79549179077148,2.1343780455313777,152.6218642288061,140.96911935273687,-0.01008373032483012,0.19042390544116355,AAPL
2021-09-09,150.405029296875,152.39649574316758,150.2878736971047,151.7912489116524,57305700,62.034823948743416,147.19622726440429,2.1060212289395395,152.85563574038406,141.5368187884245,-0.00670480584480504,-0.8920098175529231,AAPL
2021-09-10,145.4263458251953,151.78148246152148,145.16276433644302,151.3129047338198,140893200,46.50519776097426,147.20013275146485,1.66264417285538,152.8545403303244,141.5457251726053,-0.033101841706719703,2.9423559505654895,AAPL
2021-09-13,145.99253845214844,147.8180505115286,145.21156570783384,147.04684942260073,102404300,48.09651349338922,147.22209701538085,1.341487837926934,152.85411349990997,141.59008053085174,0.003893329119564637,1.1011209162717717,AAPL
2021-09-14,144.59658813476562,147.47642687466802,143.4153793726529,146.77355269563384,109296300,44.57577244813064,147.07566604614257,0.9632241560359205,152.81971738190657,141.33161471037857,-0.009561792213376386,1.366226920603382,AAPL
2021-09-15,145.4849395751953,145.88519025288556,142.88821089491876,145.0261185341006,83281300,47.22342633733719,147.01904525756837,0.7267524500184095,152.80224285878546,141.23584765635127,0.00614365423063612,0.2675859686929986,AAPL
2021-09-16,145.2506103515625,145.4263362978241,143.71796490468603,144.90894501042473,68034100,46.59117242091668,147.13765182495118,0.5145075861534281,152.66808752628438,141.60721612361797,-0.0016106768461191523,-0.35567761252169994,AAPL
2021-09-17,142.58558654785156,145.27994241453277,142.29271983680104,145.27994241453277,129868800,40.027436066778144,147.1064140319824,0.12976104936882393,152.73147613409543,141.4813519298694,-0.01834776320223752,1.9916107077355834,AAPL
2021-09-20,139.53981018066406,141.39460787991925,137.909537174392,140.37935348466607,123478900,34.112586047116736,146.85015640258788,-0.41612521870663954,153.30284682413725,140.39746598103852,-0.02136103964593461,1.533740715924015,AAPL
2021-09-21,140.01815795898438,141.16033974315945,139.38362576406158,140.50626423071614,75834000,35.719149960264446,146.5436264038086,-0.8009129254101879,153.6498363430266,139.43741646459057,0.0034280380466404914,-0.23948189228759728,AAPL
2021-09-22,142.3805389404297,142.94672884294354,140.2816740145179,141.0138330802469,76404300,43.098379805765326,146.35960845947267,-0.9048055184625241,153.6932585298465,139.02595838909883,0.016871961578992734,-0.28177499899989383,AAPL
2021-09-23,143.3372802734375,143.58133339351843,142.17558503852095,143.16155428115266,64838200,45.81148098928558,146.28492889404296,-0.8995704292640312,153.70918653029545,138.86067125779047,0.006719607469726663,-0.7488448832231931,AAPL
2021-09-24,143.42510986328125,143.96202960944674,142.09746053449825,142.1950877231893,53477900,46.06571711884108,146.25466690063476,-0.8782109997419241,153.72025635051284,138.78907745075668,0.0006127477071993237,-1.2190357563697862,AAPL
2021-09-27,141.9119873046875,142.48796392317834,140.39887004950094,142.00961449990794,74150700,42.37697829038514,146.0970085144043,-0.972173234850402,153.78624688262624,138.40777014618237,-0.010549913889109974,-0.449137356198545,AAPL
2021-09-28,138.53431701660156,141.3067568929059,138.31954907870838,139.8424381686271,108972300,35.536287546675794,145.54984283447266,-1.3041552570208523,153.7400787858125,137.3596068831328,-0.023801162623662053,0.9176880370195091,AAPL
2021-09-29,139.43240356445312,141.0138627120859,138.6514307510702,139.08096654322168,74602000,38.38433193645459,145.11054534912108,-1.4777507320320922,153.61751066408868,136.60358003415348,0.0064827731293750634,-0.43126695936398174,AAPL
