Date,Ticker,Close,RSI,rsi_norm,price_vs_ma20,macd,macd_signal,bb_pct_b,return_1d,return_5d,volume_z,label_up_tomorrow
2021-09-24,AAPL,143.42515563964844,46.06587236824281,-0.07868255263514384,-0.019346524462567682,-1.1192041657686786,-0.5659948932271827,0.31529484850713363,0.0006132801064537841,0.005888391733007925,-1.2190357563697862,0
2021-09-27,AAPL,141.91200256347656,42.37709215382209,-0.15245815692355819,-0.028645451994532944,-1.1966616475447438,-0.692128244090695,0.23475681256502437,-0.010550123298967318,0.01700044549528168,-0.449137356198545,0
2021-09-28,AAPL,138.53428649902344,35.5363759540526,-0.28927248091894797,-0.04820042028545657,-1.5131579743337227,-0.8563341901393005,0.0825577025170231,-0.023801482633171167,-0.010597599515007716,0.9176880370195091,1
2021-09-29,AAPL,139.43240356445312,38.38447486232029,-0.23231050275359422,-0.03912983237105061,-1.6722365502243122,-1.019514662156303,0.17471617611719817,0.006482994846449319,-0.020706447448868293,-0.4312669593639817,0
2021-09-30,AAPL,138.134033203125,35.91413828743946,-0.28171723425121087,-0.0445388142570724,-1.8813876393588203,-1.1918892575968063,0.14492205719573817,-0.00931182657787255,-0.03630051896207587,0.12666639741117824,1
2021-10-01,AAPL,139.2567138671875,39.53763592319009,-0.20924728153619823,-0.03318276944450793,-1.9342535663126625,-1.3403621193399777,0.23407968904768411,0.00812747328105301,-0.029063533198695146,0.30431077036509324,0
2021-10-04,AAPL,135.83016967773438,33.34132278197393,-0.33317354436052143,-0.05210250936422112,-2.226972520591147,-1.5176841995902117,0.09142688161203374,-0.024605953237709643,-0.04285636715627217,0.38416973788511766,1
2021-10-05,AAPL,137.75331115722656,39.10917469425897,-0.21781650611482065,-0.03355284521173696,-2.2775191328943833,-1.6696511862510461,0.2096829172806948,0.01415842654143007,-0.005637415556345893,-0.3382096929475261,1
2021-10-06,AAPL,138.62213134765625,41.56899900727896,-0.16862001985442077,-0.023071512034417818,-2.2218589520390424,-1.7800927394086457,0.2745723090296925,0.006307073007036923,-0.0058112188851591196,-0.26067090046730235,1
2021-10-07,AAPL,139.8814697265625,45.035052523538006,-0.09929894952923987,-0.010527253463657571,-2.0524701766750866,-1.8345682268619339,0.37794830658996764,0.00908468486715086,0.012650296837911856,-1.1842328671116764,0
2021-10-08,AAPL,139.50074768066406,44.18178451909933,-0.11636430961801338,-0.011147909940283474,-1.926739189077864,-1.85300241930512,0.3652856834584564,-0.002721747538417141,0.0017524024996691256,-1.2616473398006278,0
2021-10-11,AAPL,139.41287231445312,43.97468393693144,-0.12050632126137117,-0.009460871907355228,-1.8132848640304076,-1.8450589082501776,0.37658392924024475,-0.0006299275643461,0.026376339256727332,-0.9001104427868235,0
2021-10-12,AAPL,138.14385986328125,40.98678862223616,-0.18026422755527677,-0.016222149033423894,-1.8049636953371078,-1.8370398656675637,0.28065635136122413,-0.009102548639192687,0.0028351311687087044,-0.4283886105768916,0
2021-10-13,AAPL,137.55807495117188,39.647615557152825,-0.2070476888569435,-0.017620964083260082,-1.8246041550723078,-1.8345527235485126,0.2406720629027884,-0.004240397746878677,-0.0076759488989227576,-0.13907489941453002,1
2021-10-14,AAPL,140.34027099609375,48.28945442444751,-0.03421091151104974,0.0040086595902446565,-1.597257205069667,-1.7870936198527434,0.568658918127591,0.020225610498761704,0.0032799288599705267,-0.5754685315618807,1
2021-10-15,AAPL,141.39456176757812,51.14431061725477,0.022886212345095344,0.011982293148769863,-1.3168310464583897,-1.6930411051738727,0.7124313770881967,0.007512389451732826,0.013575655459920899,-0.6175697902552372,1
2021-10-18,AAPL,143.0639190673828,55.34790263438806,0.10695805268776126,0.02264043785390757,-0.948949216833114,-1.544222727505721,0.875961330757751,0.011806375570149186,0.026188734887367948,0.6392764060591988,1
2021-10-19,AAPL,145.22137451171875,60.12322464928156,0.2024644929856312,0.03613535366068543,-0.4778037682414151,-1.3309389356528598,1.0232169132853994,0.015080360292099693,0.05123292961006021,-0.02720300136378136,1
2021-10-20,AAPL,145.7094268798828,61.1357828515992,0.22271565703198404,0.038384422967374654,-0.06429470914090984,-1.0776100903504697,1.002201583212924,0.003360747478152293,0.059257531276185604,-1.2064596240843573,1
2021-10-21,AAPL,145.92422485351562,61.59795393288669,0.2319590786577338,0.03895745806813977,0.2775472092377811,-0.8065786304328196,0.9735354855165365,0.0014741528961601524,0.03978867803082187,-0.9763584438863446,0
