Date,Ticker,Close,rsi_norm,price_vs_ema20,price_vs_ema50,macd,macd_signal,macd_hist,bb_pct_b,bb_width,atr_norm,stoch_k,return_1d,return_5d,volume_z
2016-11-04,AAPL,25.039512634277344,-0.3903721472814095,-0.04245268106943423,-0.051657839182136844,-0.33359027050789436,-0.15006624216952047,-0.1835240283383739,-0.045215863566773505,0.09402633236409687,0.01740735300159623,-0.8486333833777691,-0.00901404419064733,-0.03799856695457027,-0.28865472493238276
2016-11-07,AAPL,25.400707244873047,-0.21786697064869073,-0.02598332135097059,-0.03654310800374172,-0.34959805700832547,-0.18997260513728148,-0.159625451871044,0.14467499361583272,0.09978856917748122,0.017751056489491213,-0.5230863862339334,0.01442498565651995,-0.022574829181793765,-0.14003237615388622
2016-11-08,AAPL,25.550241470336918,-0.1540300098065866,-0.018356172650875857,-0.02969654269413624,-0.34622709047441447,-0.2212235022047081,-0.12500358826970637,0.2296636079072208,0.10285765279912927,0.01641246355971346,-0.3883102388553614,0.005887010311260266,0.001257506150934562,-0.7422698628925167
2016-11-09,AAPL,25.50882911682129,-0.16705161228135268,-0.01808185455877742,-0.030079871310176975,-0.34294396152772677,-0.24556759406931183,-0.09737636745841494,0.2418503715000969,0.1041479656103168,0.017872681705295247,-0.41682107952391834,-0.001620820435834558,-0.0012610094692208085,2.069049248558739
2016-11-10,AAPL,24.797945022583008,-0.3515655322561662,-0.04129664478914097,-0.05499332379542232,-0.3931722188844837,-0.2750885190323462,-0.11808369985213751,0.05384883738515895,0.11302061876028377,0.021356401375350702,-0.6712909673541831,-0.027868158549445243,-0.01857453820121313,1.6711060387047143
2016-11-11,AAPL,24.94519424438477,-0.2879240632675547,-0.032322655385411014,-0.04753742418028328,-0.4162978704147484,-0.30333038930882666,-0.11296748110592175,0.14600898526819345,0.11625693842158544,0.02201148441911378,-0.5639485031735174,0.005937960652290464,-0.003766782176241712,-0.024025661577431176
2016-11-14,AAPL,24.31942749023437,-0.4141703462449922,-0.05148476233018595,-0.06882216543756403,-0.47959083852122575,-0.3385824791513065,-0.14100835936991923,0.0191946712197017,0.12591059318777922,0.024811332121590226,-0.7086227720840491,-0.02508566371621901,-0.04256888378007362,1.114498365275395
2016-11-15,AAPL,24.641511917114254,-0.28763098625637495,-0.035346810743814294,-0.05439494234429043,-0.4980205790413379,-0.37047009912931284,-0.12755047991202506,0.15648240506320507,0.1279410794324663,0.022523271370621788,-0.4583571574934876,0.013243914849937033,-0.03556637827778153,-0.2932706218286402
2016-11-16,AAPL,25.30408096313477,-0.0746106168512469,-0.008520449094136406,-0.02786481227099835,-0.45392987544672536,-0.3871620543927954,-0.06676782105392998,0.3754853357896861,0.12346470002679466,0.023153751835269538,0.1212837164372218,0.026888327641955367,-0.008026560245037007,1.4911351593790159
2016-11-17,AAPL,25.29487609863281,-0.07689543454785266,-0.008042100835640387,-0.027141875483762123,-0.41494717805570147,-0.3927190791253766,-0.022228098930324847,0.3908316742389353,0.1177449473647875,0.02301209925533683,0.22719314121876932,-0.0003637699592951016,0.020039203877468603,-0.7824201715093267
