Date,Ticker,Close,rsi_norm,price_vs_ema20,price_vs_ema50,macd,macd_signal,macd_hist,bb_pct_b,bb_width,atr_norm,stoch_k,return_1d,return_5d,volume_z
2021-09-24,AAPL,143.42515563964844,-0.07868255263514384,-0.00912264167963961,-0.01336595869599877,-1.1192041657686786,-0.5659948932271827,-0.553209272541496,0.31529484850713363,0.10474274434795562,0.02075479025353229,-0.29330281219130905,0.0006132801064537841,0.005888391733007925,-1.2190357563697862
2021-09-27,AAPL,141.91200256347656,-0.15245815692355819,-0.017745174152869803,-0.022864031225786285,-1.1966616475447438,-0.692128244090695,-0.5045334034540488,0.23475681256502437,0.10799693772174762,0.021044876383044916,-0.4800210266226873,-0.010550123298967318,0.01700044549528168,-0.449137356198545
2021-09-28,AAPL,138.53428649902344,-0.28927248091894797,-0.0373539964220051,-0.044392929519340485,-1.5131579743337227,-0.8563341901393005,-0.6568237841944222,0.0825577025170231,0.11546606698958706,0.021870070288297506,-0.9137443130712721,-0.023801482633171167,-0.010597599515007716,0.9176880370195091
2021-09-29,AAPL,139.43240356445312,-0.23231050275359422,-0.02823366939315397,-0.03675484038669374,-1.6722365502243122,-1.019514662156303,-0.6527218880680092,0.17471617611719817,0.12029443058056553,0.021919232549942554,-0.7804345908334683,0.006482994846449319,-0.020706447448868293,-0.4312669593639817
2021-09-30,AAPL,138.134033203125,-0.28171723425121087,-0.03385206548122399,-0.04401021339739042,-1.8813876393588203,-1.1918892575968063,-0.689498381762014,0.14492205719573817,0.12543390869430782,0.020267613594418508,-0.9546773794807577,-0.00931182657787255,-0.03630051896207587,0.12666639741117824
2021-10-01,AAPL,139.2567138671875,-0.20924728153619823,-0.023581952557783947,-0.03486879384003427,-1.9342535663126625,-1.3403621193399777,-0.5938914469726848,0.23407968904768411,0.12478463689243431,0.020675044852645513,-0.40802534953043723,0.00812747328105301,-0.029063533198695146,0.30431077036509324
2021-10-04,AAPL,135.83016967773438,-0.33317354436052143,-0.04326977536603116,-0.05644782685163274,-2.226972520591147,-1.5176841995902117,-0.7092883210009353,0.09142688161203374,0.12752309689338515,0.021309562637598256,-0.8442273413714991,-0.024605953237709643,-0.04285636715627217,0.38416973788511766
2021-10-05,AAPL,137.75331115722656,-0.21781650611482065,-0.026969472123436034,-0.04146893531514828,-2.2775191328943833,-1.6696511862510461,-0.6078679466433372,0.2096829172806948,0.11557309992735677,0.021027250444289297,-0.46915969670192526,0.01415842654143007,-0.005637415556345893,-0.3382096929475261
2021-10-06,AAPL,138.62213134765625,-0.16862001985442077,-0.018885920722334415,-0.034081601150562246,-2.2218589520390424,-1.7800927394086457,-0.4417662126303967,0.2745723090296925,0.10234551015055532,0.02188638259085315,-0.2928931221223068,0.006307073007036923,-0.0058112188851591196,-0.26067090046730235
2021-10-07,AAPL,139.8814697265625,-0.09929894952923987,-0.009031595338832132,-0.024338277306214517,-2.0524701766750866,-1.8345682268619339,-0.2179019498131527,0.37794830658996764,0.08625241624703463,0.02127062078277449,0.09130111452415202,0.00908468486715086,0.012650296837911856,-1.1842328671116764
2021-10-08,AAPL,139.50074768066406,-0.11636430961801338,-0.010623603111880708,-0.025962686076517527,-1.926739189077864,-1.85300241930512,-0.07373676977274402,0.3652856834584564,0.0827522287643841,0.019744141489928736,0.006519169601130859,-0.002721747538417141,0.0017524024996691256,-1.2616473398006278
2021-10-11,AAPL,139.41287231445312,-0.12050632126137117,-0.010186622263454459,-0.025560692305746757,-1.8132848640304076,-1.8450589082501776,0.03177404421977004,0.37658392924024475,0.07665834643020063,0.020346777666455314,-0.013049553929456392,-0.0006299275643461,0.026376339256727332,-0.9001104427868235
2021-10-12,AAPL,138.14385986328125,-0.18026422755527677,-0.01740002496120019,-0.03312508103084366,-1.8049636953371078,-1.8370398656675637,0.032076170330455955,0.28065635136122413,0.0739576875560192,0.02013492485767498,-0.2956424452551739,-0.009102548639192687,0.0028351311687087044,-0.4283886105768916
2021-10-13,AAPL,137.55807495117188,-0.2070476888569435,-0.019552834849295597,-0.03581749728323025,-1.8246041550723078,-1.8345527235485126,0.009948568476204844,0.2406720629027884,0.0679485761561227,0.02066171155186646,-0.4260892756665715,-0.004240397746878677,-0.0076759488989227576,-0.13907489941453002
2021-10-14,AAPL,140.34027099609375,-0.03421091151104974,0.0002508907513170122,-0.015686499038098267,-1.597257205069667,-1.7870936198527434,0.18983641478307645,0.568658918127591,0.05838512606323558,0.020778770369436258,0.42782018457953264,0.020225610498761704,0.0032799288599705267,-0.5754685315618807
2021-10-15,AAPL,141.39456176757812,0.022886212345095344,0.0070204335809258556,-0.007969369498174506,-1.3168310464583897,-1.6930411051738727,0.3762100587154831,0.7124313770881967,0.05640547697337131,0.019780534186470963,0.9819011214845577,0.007512389451732826,0.013575655459920899,-0.6175697902552372
2021-10-18,AAPL,143.0639190673828,0.10695805268776126,0.017078015494097043,0.003595607888369212,-0.948949216833114,-1.544222727505721,0.595273510672607,0.875961330757751,0.06022012372462831,0.019549707961828717,0.9323236582793462,0.011806375570149186,0.026188734887367948,0.6392764060591988
2021-10-19,AAPL,145.22137451171875,0.2024644929856312,0.029238422343765613,0.01798246550717475,-0.4778037682414151,-1.3309389356528598,0.8531351674114447,1.0232169132853994,0.06906381033018073,0.019297700204875524,0.9247702429488951,0.015080360292099693,0.05123292961006021,-0.02720300136378136
2021-10-20,AAPL,145.7094268798828,0.22271565703198404,0.029491553645706547,0.02054704244564376,-0.06429470914090984,-1.0776100903504697,1.0133153812095599,1.002201583212924,0.07643230178965861,0.018529591591917027,0.9146331163510888,0.003360747478152293,0.059257531276185604,-1.2064596240843573
